"calle";"numero"
"25 DE MAYO";"8514"
"25 DE MAYO";"8521"
"25 DE MAYO";"8521"
"25 DE MAYO";"8522"
"25 DE MAYO";"8531"
"25 DE MAYO";"8532"
"25 DE MAYO";"8539"
"25 DE MAYO";"8540"
"25 DE MAYO";"8561"
"25 DE MAYO";"8561"
"25 DE MAYO";"8561"
"25 DE MAYO";"8568"
"25 DE MAYO";"8568"
"25 DE MAYO";"8569"
"25 DE MAYO";"8569"
"25 DE MAYO";"8569"
"25 DE MAYO";"8577"
"25 DE MAYO";"8584"
"25 DE MAYO";"8585"
"25 DE MAYO";"8585"
"25 DE MAYO";"8585"
"25 DE MAYO";"8594"
"25 DE MAYO";"8594"
"25 DE MAYO";"8595"
"25 DE MAYO";"8595"
"25 DE MAYO";"8595"
"25 DE MAYO";"8671"
"25 DE MAYO";"8671"
"25 DE MAYO";"8698"
"25 DE MAYO";"8698"
"25 DE MAYO";"8698"
"25 DE MAYO";"8841"
"25 DE MAYO";"8841"
"25 DE MAYO";"8841"
"25 DE MAYO";"8841"
"25 DE MAYO";"8842"
"25 DE MAYO";"8842"
"25 DE MAYO";"8842"
"25 DE MAYO";"8858"
"25 DE MAYO";"8858"
"25 DE MAYO";"8859"
"25 DE MAYO";"8903"
"25 DE MAYO";"8903"
"25 DE MAYO";"8903"
"25 DE MAYO";"8904"
"25 DE MAYO";"8922"
"25 DE MAYO";"8922"
"25 DE MAYO";"8922"
"25 DE MAYO";"8922"
"25 DE MAYO";"8923"
"25 DE MAYO";"8935"
"25 DE MAYO";"8935"
"25 DE MAYO";"8936"
"25 DE MAYO";"8936"
"25 DE MAYO";"8936"
"25 DE MAYO";"8936"
"25 DE MAYO";"8940"
"25 DE MAYO";"8940"
"25 DE MAYO";"8941"
"25 DE MAYO";"8941"
"25 DE MAYO";"8941"
"25 DE MAYO";"8941"
"25 DE MAYO";"8949"
"25 DE MAYO";"8949"
"25 DE MAYO";"8950"
"25 DE MAYO";"8950"
"25 DE MAYO";"8960"
"25 DE MAYO";"8960"
"25 DE MAYO";"8963"
"25 DE MAYO";"8964"
"25 DE MAYO";"8964"
"25 DE MAYO";"8964"
"25 DE MAYO";"8975"
"25 DE MAYO";"8975"
"25 DE MAYO";"8975"
"25 DE MAYO";"8976"
"25 DE MAYO";"8976"
"25 DE MAYO";"8996"
"25 DE MAYO";"8996"
"25 DE MAYO";"8999"
"25 DE MAYO";"9023"
"25 DE MAYO";"9023"
"25 DE MAYO";"9024"
"25 DE MAYO";"9024"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9025"
"25 DE MAYO";"9030"
"25 DE MAYO";"9030"
"25 DE MAYO";"9031"
"25 DE MAYO";"9037"
"25 DE MAYO";"9037"
"25 DE MAYO";"9037"
"25 DE MAYO";"9037"
"25 DE MAYO";"9046"
"25 DE MAYO";"9046"
"25 DE MAYO";"9046"
