"id_calle";"calle"
"19149";"PJE.M.SASTRE"
"19449";"PJE.MAIPU"
"19442";"PJE.MANTARAS"
"19441";"PJE.MANTOVANI"
"19163";"PJE.MARIA DE SANABRIA"
"19436";"PJE.MARSENGO"
"19413";"PJE.MITRE"
"19391";"PJE.NORTE"
"19366";"PJE.NUEVO"
"19340";"PJE.OUB"
"19334";"PJE.PARALELO"
"19333";"PJE.PARANA"
"19328";"PJE.PARPAL"
"19327";"PJE.PARTICULAR"
"19319";"PJE.PASTORAL"
"19313";"PJE.PEATONAL 1"
"19314";"PJE.PEATONAL 2"
"19308";"PJE.PENA"
"19292";"PJE.PIZZORNO"
"19282";"PJE.PRIVADO"
"19281";"PJE.PRIVADO 2"
"19280";"PJE.PRIVADO 3"
"2097066";"PJE.PRIVADO 4"
"2097096";"PJE.PRIVADO 5"
"19278";"PJE.PROGRESO"
"19279";"PJE.PROSPERE"
"19805";"PJE.PUBLICO 163.50"
"19232";"PJE.PUJATO"
"19224";"PJE.QUIROZ"
"19220";"PJE.RAMOS"
"19209";"PJE.REPUBLICA"
"19192";"PJE.RODRIGUEZ"
"19189";"PJE.ROLDAN"
"19106";"PJE.S/NOMBRE (14)"
"19105";"PJE.S/NOMBRE (15)"
"19103";"PJE.S/NOMBRE (16)"
"19104";"PJE.S/NOMBRE (17)"
"19102";"PJE.S/NOMBRE (18)"
"19101";"PJE.S/NOMBRE (19)"
"19099";"PJE.S/NOMBRE (20)"
"19096";"PJE.S/NOMBRE (23)"
"19097";"PJE.S/NOMBRE (24)"
"19095";"PJE.S/NOMBRE (25)"
"19093";"PJE.S/NOMBRE (26)"
"19176";"PJE.SAN AGUSTIN"
"19158";"PJE.SANTA FE ( EX LIBERACION)"
"19159";"PJE.SANTA FE N-S"
"19136";"PJE.SERVIDUMBRE"
"19086";"PJE.SOBERANIA"
"19084";"PJE.SOLIDARIDAD"
"19083";"PJE.SPEDALIERI"
"19569";"PJE.T.IRIARTE"
"19042";"PJE.T.MIDACHI"
"19005";"PJE.V.DEL PARQUE"
"19669";"PJE.V.ECHEVERRIA"
"19012";"PJE.V.Y PINTADO"
"19026";"PJE.VECINAL"
"19016";"PJE.VERA CRUZ"
"19011";"PJE.VIALE"
"19009";"PJE.VIAS"
"18993";"PJE.ZAMARO"
"19891";"PTE.H.CAMPORA"
"19277";"PUBLICA 1"
"19265";"PUBLICA 122"
"19266";"PUBLICA 124"
"19264";"PUBLICA 124.50"
"19267";"PUBLICA 155"
"19268";"PUBLICA 169B"
"19275";"PUBLICA 2"
"19276";"PUBLICA 3"
"19273";"PUBLICA 4"
"19274";"PUBLICA 5"
"19271";"PUBLICA 6"
"19272";"PUBLICA 7"
"19269";"PUBLICA 8"
"19261";"PUBLICA TRES"
"19262";"PUBLICO"
"19252";"PUBLICO 10"
"19249";"PUBLICO 11"
"19250";"PUBLICO 12"
"19247";"PUBLICO 13"
"19248";"PUBLICO 14"
"19246";"PUBLICO 15"
"19245";"PUBLICO 17"
"19243";"PUBLICO 18"
"19241";"PUBLICO 19"
"19242";"PUBLICO 2 Y 1/2"
"19239";"PUBLICO 20"
"19240";"PUBLICO 21"
"19238";"PUBLICO 22"
"19235";"PUBLICO 3"
"19253";"PUBLICO 7"
"19254";"PUBLICO 8"
"19251";"PUBLICO 9"
"19230";"QUINTA SUR"
"19229";"QUINTANA"
"19400";"R. DE MOSQUERA"
"19217";"R.12 DE INFANTERIA"
"20143";"R.ALDAO"
"20124";"R.ARAOZ"
"19485";"R.LOFEUDO"
"19428";"R.MAURI"
"19218";"R.REARTE"
"19181";"R.SAENZ PEÑA"
"19215";"REG.PATRICIOS"
"19433";"REGIS MARTINEZ"
"19212";"REP.DE SIRIA"
"19210";"REP.DOMINICANA"
"19207";"REVIGLIO"
"2027400";"REYNALDO ANSELMI"
"19206";"RIO DE JANEIRO"
"19205";"RIO JURAMENTO"
"19203";"RIO NEGRO"
"19204";"RIOBAMBA"
"19202";"RISSO"
"19200";"RIVADAVIA"
"144658";"ROBERTO MAURER"
"19197";"RODRIGUEZ CARDONA"
"19186";"ROSATTI"
"19184";"ROSSO"
"19603";"RUPERTO GODOY"
"19939";"S.BAYO"
"19175";"S.C.DE BARILOCHE"
"19168";"S.M.DE PORRES"
"19182";"SAAVEDRA"
"19172";"SAN JOSE"
"19173";"SAN JUAN"
"19171";"SAN LORENZO"
"19166";"SAN MARTIN"
"19160";"SANTA CRUZ"
"19151";"SARMIENTO"
"19147";"SAVOINI"
"19145";"SCALABRINI ORTIZ"
"20135";"SDO.ALMONACID"
"19121";"SGTO.SIMON"
"19128";"SIERRA CHICA"
"19124";"SILVA BRAGA"
"19120";"SIMONIELLO"
"19156";"STA.RITA"
"19077";"SUPICICHE"
"19074";"TACUARI"
"19071";"TALCAHUANO"
"19059";"TOBAS"
"18994";"TPLEN.YRIGOYEN"
"19457";"TTE. LOZA"
"19146";"U.SCHMIDL"
"19324";"ULTIMO PASAJE"
"19037";"UNIDAD"
"19033";"VALDIVIELSO"
"19019";"VELEZ SARSFIELD"
"19018";"VENEZUELA"
"19002";"VILLALTA"
"18998";"VTA.DE OBLIGADO"
"19078";"W.SUAREZ"
"18995";"YAPEYU"
"18992";"ZAPATA GOLLAN"
