Country Name,Country Code,Indicator Code,value_2014
Arab World,ARB,BAR.PRM.ICMP.1519.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.1519.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.1519.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.1519.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.1519.FE.ZS,
Arab World,ARB,BAR.NOED.2024.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.2024.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.2024.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.2024.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.2024.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.2024.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.2024.FE.ZS,
Arab World,ARB,BAR.NOED.25UP.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.25UP.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.25UP.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.25UP.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.25UP.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.25UP.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.25UP.FE.ZS,
Arab World,ARB,BAR.NOED.2529.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.2529.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.2529.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.2529.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.2529.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.2529.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.2529.FE.ZS,
Arab World,ARB,BAR.NOED.3034.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.3034.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.3034.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.3034.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.3034.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.3034.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.3034.FE.ZS,
Arab World,ARB,BAR.NOED.3539.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.3539.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.3539.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.3539.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.3539.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.3539.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.3539.FE.ZS,
Arab World,ARB,BAR.NOED.4044.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.4044.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.4044.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.4044.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.4044.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.4044.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.4044.FE.ZS,
Arab World,ARB,BAR.NOED.4549.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.4549.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.4549.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.4549.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.4549.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.4549.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.4549.FE.ZS,
Arab World,ARB,BAR.NOED.5054.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.5054.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.5054.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.5054.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.5054.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.5054.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.5054.FE.ZS,
Arab World,ARB,BAR.NOED.5559.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.5559.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.5559.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.5559.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.5559.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.5559.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.5559.FE.ZS,
Arab World,ARB,BAR.NOED.6064.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.6064.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.6064.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.6064.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.6064.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.6064.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.6064.FE.ZS,
Arab World,ARB,BAR.NOED.6569.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.6569.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.6569.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.6569.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.6569.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.6569.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.6569.FE.ZS,
Arab World,ARB,BAR.NOED.7074.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.7074.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.7074.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.7074.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.7074.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.7074.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.7074.FE.ZS,
Arab World,ARB,BAR.NOED.75UP.FE.ZS,
Arab World,ARB,BAR.PRM.CMPT.75UP.FE.ZS,
Arab World,ARB,BAR.PRM.ICMP.75UP.FE.ZS,
Arab World,ARB,BAR.SEC.CMPT.75UP.FE.ZS,
Arab World,ARB,BAR.SEC.ICMP.75UP.FE.ZS,
Arab World,ARB,BAR.TER.CMPT.75UP.FE.ZS,
Arab World,ARB,BAR.TER.ICMP.75UP.FE.ZS,
Arab World,ARB,BAR.NOED.15UP.ZS,
Arab World,ARB,BAR.PRM.CMPT.15UP.ZS,
Arab World,ARB,BAR.PRM.ICMP.15UP.ZS,
Arab World,ARB,BAR.SEC.CMPT.15UP.ZS,
Arab World,ARB,BAR.SEC.ICMP.15UP.ZS,
Arab World,ARB,BAR.TER.CMPT.15UP.ZS,
Arab World,ARB,BAR.TER.ICMP.15UP.ZS,
Arab World,ARB,BAR.NOED.1519.ZS,
Arab World,ARB,BAR.PRM.CMPT.1519.ZS,
Arab World,ARB,BAR.PRM.ICMP.1519.ZS,
Arab World,ARB,BAR.SEC.CMPT.1519.ZS,
Arab World,ARB,BAR.SEC.ICMP.1519.ZS,
Arab World,ARB,BAR.TER.CMPT.1519.ZS,
Arab World,ARB,BAR.TER.ICMP.1519.ZS,
Arab World,ARB,BAR.NOED.2024.ZS,
Arab World,ARB,BAR.PRM.CMPT.2024.ZS,
Arab World,ARB,BAR.PRM.ICMP.2024.ZS,
Arab World,ARB,BAR.SEC.CMPT.2024.ZS,
Arab World,ARB,BAR.SEC.ICMP.2024.ZS,
Arab World,ARB,BAR.TER.CMPT.2024.ZS,
Arab World,ARB,BAR.TER.ICMP.2024.ZS,
Arab World,ARB,BAR.NOED.25UP.ZS,
Arab World,ARB,BAR.PRM.CMPT.25UP.ZS,
